,Title,Author,Description,Pages,Publication year,Publisher,Cover,Category,Subcategory,Price
0, فى فقه الصراع على القدس وفلسطين, محمد عمارة," الإسلامية كانت القدس رمز الصراع وبوابة الانتصار وفى كل مراحل هذا الصراع تشابكت العلاقات بين "" المصالح "" وبين العقائد .. والأيديولوجيا "" وإذا كان ا لقران الكريم قد جعل الرباط بين المسجد الأقصى والمسجد الحرام أية من ايات الله فكان تحرير القدس وفلسطين دينا وج عرضلقران الكريم قد جعل الرباط بين المسجد الأقصى والمسجد الحرام أية من ايات الله فكان تحرير القدس وفلسطين دينا وج",180,2006, دار الشروق – مصر, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,15.0
1, الرد على شبهات المستشرقين في السيرة النبوية(3), محمد بن عبد الرزاق اسود, None,86,2017, دار طيبة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,15.0
2, القصص التربوية عند الشيخ محمد تقي فلسفي, لطيف الراشدي, None,420,0, دار الكاتب العربي للطباعة والنشر, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,37.5
3, باب السلام, الأستاذ الدكتور عبدالوهاب إبراهيم أبو سليمان, None,494,2013, تارة الدولية, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,100.02
4, تسبيح الروح, طراد حمادة, None,144,0, دار العلم للطباعة والنشر والتوزيع, غلاف عادي,الأدب والخيال,الأدب الإسلامي,18.75
5, خمسون وسيلة لسلامة الصدر, سعد الطخيس, None,184,2016, دار الحضارة للنشر والتوزيع, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,19.88
6, عذراء قريش, جرجي زيدان," روايات تاريخ الإسلام"" سلسلة من الروايات التاريخية تصور مراحل التاريخ الإسلامي منذ ظهور الإسلام روعي فيها عنصر التشويق مع التزام الحوادث التاريخ ية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""عذراء قريش"" يدخل ضمن كتب هذه السلسلة وهو يؤرخ لمقتل الخليفة عثمان بن عفان وخلافة الإمام علي، وما نجم عن ذلك من الفتنة وواقعتي الجمل وصفين إلى تحكيم الحكمين وخروج مصر من خلافة الإمام علي. عرضية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""عذراء قريش"" يدخل ضمن كتب هذه السلسلة وهو يؤرخ لمقتل الخليفة عثمان بن عفان وخلافة الإمام علي، وما نجم عن ذلك من الفتنة وواقعتي الجمل وصفين إلى تحكيم الحكمين وخروج مصر من خلافة الإمام علي.",176,0, دار البشير للطباعة والنشر والتوزيع, غلاف عادي,الأدب والخيال,الأدب الإسلامي,18.75
7, التحفة في أحكام العمرة والمسجد الحرام, فهد العماري, None,358,2017, دار الحضارة للنشر والتوزيع _ السعودية, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,19.88
10, رعاية المقاصد في فقه ابي بكر الصديق, التلمساني, None,140,2017, دار طيبة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,18.75
11, المدخل إلى علوم نهج البلاغة, محسن باقر الموسوي, None,432,0, دار العلوم للتحقيق والطباعة والنشر, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,33.75
12, خمسة نصوص إسلامية نادرة في معجزات الرسول وفضائله وفضل الصلاة والسلام عليه, زين الدين شعبان بن محمد الآثاري, None,71,0, دار الغرب الإسلامي, غلاف عادي,الأدب والخيال,الأدب الإسلامي,15.0
13, قواعد النجاح السبع في السبع المثاني, فوزية  الشدي, None,60,2016, دار الحضارة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,4.88
14, علوم نهج البلاغة, محسن باقر الموسوي, None,440,0, دار العلوم للتحقيق والطباعة والنشر, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,30.0
16, نفحات من الأدب الإسلامي, محمد الصابوني, ھﺬه ﻣﺬﻛﺮات ﻓﻲ اﻷدب اﻹﺳﻼﻣﻲ، وﺿﻌﮫﺎ اﻟﻤﺆﻟﻒ ﻟﻄﻼﺑﻪ ﻓﻲ اﻟﻤﻌﺎھﺪ اﻟﺸﺮﻋﯿﺔ، وﻓﻲ دار ﻧﮫﻀﺔ اﻟﻌﻠﻮم اﻟﺸﺮﻋﯿﺔ ﺑﺤﻠﺐ. ھﺬا اﻷدب اﻟﺤﻲ اﻟﺬي ﻳﻌﺒﺮ ﻋﻦ ﻋﻘﯿﺪة ﺻﺎﺣﺒﻪ ﺑﺼﺪق وو ﺿﻮح، ﻣﻦ ﺧﻼل اﻟﺘﺼﻮر اﻹﺳﻼﻣﻲ، واﻟﺬي ﻳﻌﺎﻟﺞ ﻣﺸﻜﻼت اﻷﻣﺔ اﻹﺳﻼﻣﯿﺔ، ﻳﺘﺤﺴﺲ آﻻﻣﮫﺎ، وﻳﻠﻤﺲ ﺟﺮاﺣﮫﺎ، ﻓﺘﺒﺘﺴﻢ ھﺬه اﻟﺠﺮاح وﺗﺴﯿﻞ دﻣﻮﻋﺎً ﺻﺎﻓﯿﺔ ﻣﻦ ﻣﺂﻗﯿﻪ. ذﻟﻚ اﻷدب اﻟﺬي ظﻠﻢ ﻣﻦ أﺑﻨﺎﺋﻪ أﻛﺜﺮ ﻣﻤﺎ ظﻠﻢ ﻣﻦ أﻋﺪاﺋ عرضﺿﻮح، ﻣﻦ ﺧﻼل اﻟﺘﺼﻮر اﻹﺳﻼﻣﻲ، واﻟﺬي ﻳﻌﺎﻟﺞ ﻣﺸﻜﻼت اﻷﻣﺔ اﻹﺳﻼﻣﯿﺔ، ﻳﺘﺤﺴﺲ آﻻﻣﮫﺎ، وﻳﻠﻤﺲ ﺟﺮاﺣﮫﺎ، ﻓﺘﺒﺘﺴﻢ ھﺬه اﻟﺠﺮاح وﺗﺴﯿﻞ دﻣﻮﻋﺎً ﺻﺎﻓﯿﺔ ﻣﻦ ﻣﺂﻗﯿﻪ. ذﻟﻚ اﻷدب اﻟﺬي ظﻠﻢ ﻣﻦ أﺑﻨﺎﺋﻪ أﻛﺜﺮ ﻣﻤﺎ ظﻠﻢ ﻣﻦ أﻋﺪاﺋ,168,1996, دار البشائر الإسلامية للطباعة والنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,18.75
19, السنة النبوية بين الرافضين و الملتزمين, أ.د. محمد الحاجي, None,120,2009, دار طيبة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,18.75
20, الموسوعة الشعرية المهدوية, عبد القادر الشيخ علي أبو المكارم, None,0,0, دار العلوم للتحقيق والطباعة والنشر, غلاف فني,الأدب والخيال,الأدب الإسلامي,375.03
23, معلم خط الديواني, منصور العواجي, None,16,2016, دار الحضارة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,4.88
24, هذا ما قرأت من شعراء المنبر الحسيني في رثاء الإمام الحسين عليه السلام, باسم الكربلائي, None,629,0, دار القارئ, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,56.25
25, بسط الأعذار عن حب العذار, بدر الدين المنهاجي, كتاب في الادب وصفه المؤلف بعد أن أطلع على كتاب خلع العذار للصفدي ووجده ناقصاً الكثير من الأمور المتعلقة بالموضوع فألف هذا الكتاب مضمناً إياه مجموع اً شعرياً ضخماً تتبع فيه ما قيل في وصف العذاار فتناول من هام بالمليح قبل بلوعه وفيمن يهيمون بالمعذرين حال ظهو عرضاً شعرياً ضخماً تتبع فيه ما قيل في وصف العذاار فتناول من هام بالمليح قبل بلوعه وفيمن يهيمون بالمعذرين حال ظهو,464,2016, دار الكتب العلمية, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,45.0
27, أحلى عشرين قصيدة حب في الحب الالهي, فاروق شوشة, None,148,0, دار إبن زيدون للطباعة والنشر, غلاف عادي,الأدب والخيال,الأدب الإسلامي,11.25
29, رجال الله, نجيب الكيلاني, None,112,0, الشركة المتحدة للنشر والتوزيع, غلاف عادي,الأدب والخيال,الأدب الإسلامي,15.86
31, قصة كاملة... لم يؤلفها بشر, علي الطنطاوي, قصة حقيقية شهد نهايتها العلامة الدمشقي علي الطنطاوي ، فقام بسردها بعد تحري أحداثها و شخصياتها . قصة قصيرة لكن تحمل في طياتها رسالة عميقة تعجز المج لدات أحيانا بأن تحمل مثلها . عرضلدات أحيانا بأن تحمل مثلها .,34,2004, دار ابن حزم للطباعة والنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,1.5
35, أسير المتمهدي, جرجي زيدان," روايات تاريخ الإسلام"" سلسلة من الروايات التاريخية تصور مراحل التاريخ الإسلامي منذ ظهور الإسلام روعي فيها عنصر التشويق مع التزام الحوادث التاريخ ية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""أسير المتمهدي"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على وصف ""مصر"" و""السودان"" في الربع الأخير من القرن الماضي، ودسائس الدول الأجنبية التي أدت إلى الثورة العرابية في ""مصر"" والثورة المهدية في ""السودان""، والاحتلال البريطاني لوادي النيل. عرضية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""أسير المتمهدي"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على وصف ""مصر"" و""السودان"" في الربع الأخير من القرن الماضي، ودسائس الدول الأجنبية التي أدت إلى الثورة العرابية في ""مصر"" والثورة المهدية في ""السودان""، والاحتلال البريطاني لوادي النيل.",144,0, دار البشير للطباعة والنشر والتوزيع, غلاف عادي,الأدب والخيال,الأدب الإسلامي,18.75
