title_ar,description_ar,pages,published_year,author_name_ar,author_slug,genre,cover,isbn
فى فقه الصراع على القدس وفلسطين,"الإسلامية كانت القدس رمز الصراع وبوابة الانتصار وفى كل مراحل هذا الصراع تشابكت العلاقات بين "" المصالح "" وبين العقائد .. والأيديولوجيا "" وإذا كان ا لقران الكريم قد جعل الرباط بين المسجد الأقصى والمسجد الحرام أية من ايات الله فكان تحرير القدس وفلسطين دينا وج عرضلقران الكريم قد جعل الرباط بين المسجد الأقصى والمسجد الحرام أية من ايات الله فكان تحرير القدس وفلسطين دينا وج",,,محمد عمارة,محمد-عمارة,أدب قصصي / عام, غلاف ورقي,
الرد على شبهات المستشرقين في السيرة النبوية(3),None,,,محمد بن عبد الرزاق اسود,محمد-بن-عبد-الرزاق-اسود,أدب قصصي / عام, غلاف ورقي,
القصص التربوية عند الشيخ محمد تقي فلسفي,None,,,لطيف الراشدي,لطيف-الراشدي,أدب قصصي / عام, غلاف كرتوني,
باب السلام,None,,,الأستاذ الدكتور عبدالوهاب إبراهيم أبو سليمان,الأستاذ-الدكتور-عبدالوهاب-إبراهيم-أبو-سليمان,أدب قصصي / عام, غلاف ورقي,
تسبيح الروح,None,,,طراد حمادة,طراد-حمادة,أدب قصصي / عام, غلاف عادي,
خمسون وسيلة لسلامة الصدر,None,,,سعد الطخيس,سعد-الطخيس,أدب قصصي / عام, غلاف كرتوني,
عذراء قريش,"روايات تاريخ الإسلام"" سلسلة من الروايات التاريخية تصور مراحل التاريخ الإسلامي منذ ظهور الإسلام روعي فيها عنصر التشويق مع التزام الحوادث التاريخ ية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""عذراء قريش"" يدخل ضمن كتب هذه السلسلة وهو يؤرخ لمقتل الخليفة عثمان بن عفان وخلافة الإمام علي، وما نجم عن ذلك من الفتنة وواقعتي الجمل وصفين إلى تحكيم الحكمين وخروج مصر من خلافة الإمام علي. عرضية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""عذراء قريش"" يدخل ضمن كتب هذه السلسلة وهو يؤرخ لمقتل الخليفة عثمان بن عفان وخلافة الإمام علي، وما نجم عن ذلك من الفتنة وواقعتي الجمل وصفين إلى تحكيم الحكمين وخروج مصر من خلافة الإمام علي.",,,جرجي زيدان,جرجي-زيدان,أدب قصصي / عام, غلاف عادي,
التحفة في أحكام العمرة والمسجد الحرام,None,,,فهد العماري,فهد-العماري,أدب قصصي / عام, غلاف ورقي,
رعاية المقاصد في فقه ابي بكر الصديق,None,,,التلمساني,التلمساني,أدب قصصي / عام, غلاف ورقي,
المدخل إلى علوم نهج البلاغة,None,,,محسن باقر الموسوي,محسن-باقر-الموسوي,أدب قصصي / عام, غلاف كرتوني,
